name,username,Following,Followers,Posts
Shilpa Shetty Kundra,theshilpashetty,375,28M,"3,358"
Reese Witherspoon,reesewitherspoon,996,30M,646
Riyaz Aly,riyaz.14,272,28M,"2,235"
LUDMILLA,ludmilla,535,30M,617
camila mendes,camimendes,519,28M,469
Eden Hazard,hazardeden_10,115,28M,552
Lily Collins,lilyjcollins,522,29M,"4,048"
emilia_clarke,emilia_clarke,575,28M,493
Shireen Sungkar,shireensungkar,"1,154",28M,"4,809"
TWICE,twicetagram,15,28M,"3,414"
차은우,eunwo.o_c,6,33M,353
Bruno Mars,brunomars,50,28M,611
,,,,
KATHERINE LANGFORD,katherinelangford,953,34M,92
Mia K.,miakhalifa,"1,206",29M,"2,120"
Simaria,simaria,236,29M,212
Golden State Warriors,warriors,271,29M,10K
Davido,davido,"1,876",28M,"4,557"
Atta Halilintar - PAPATA,attahalilintar,"5,617",27M,"3,558"
Carlinhos Maia🌻,carlinhosmaiaof,992,28M,"1,610"
NFL,nfl,"2,151",27M,14K
Nina Dobrev,nina,441,27M,"4,020"
Giovanna Ewbank,gioewbank,"2,245",31M,"7,165"
Nidhhi Agerwal 🌟,nidhhiagerwal,709,29M,"1,028"
Viih Tube,viihtube,"1,341",27M,"3,365"
Aurelie Hermansyah Atta,aurelie.hermansyah,"3,565",31M,"2,690"
Sadie Sink,sadiesink_,392,26M,97
Madelaine Petsch,madelame,433,26M,573
BELLA,bellathorne,"4,131",26M,"5,579"
mon,imouniroy,401,27M,"2,995"
Rohit Sharma,rohitsharma45,123,27M,"1,086"
Deborah Secco,dedesecco,"2,446",26M,"5,008"
Alicia Keys,aliciakeys,"2,103",26M,"1,013"
Lestikejora,lestykejora,"2,620",28M,972
FAISAL SHAIKH,mr_faisu_07,276,30M,"3,514"
Sayyed Arishfa Khan 💎,arishfakhan138,39,30M,"2,101"
Zach King,zachking,241,25M,"1,074"
Liam Payne,liampayne,270,26M,"1,048"
𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,rohittt_09_,175,25M,"1,422"
Lucy Hale,lucyhale,"1,079",26M,"1,413"
Rina Nose,rinanose16,43,27M,"1,012"
dixie,dixiedamelio,"1,967",25M,93
Rodrigo Faro,rodrigofaro,"1,506",26M,"4,567"
Mesut Özil,m10_official,387,25M,"1,597"
Sonakshi Sinha,aslisona,435,26M,"1,840"
Tamer Hosny,tamerhosny,106,25M,"1,808"
loren gray,loren,542,25M,"1,796"
KARTIK AARYAN,kartikaaryan,967,29M,"2,412"
Verrell Bramasta,bramastavrl,485,26M,"1,354"
Jimmy Fallon,jimmyfallon,"1,529",25M,"1,088"
Amanda 𝕮𝖊𝖗𝖓𝖞,amandacerny,625,25M,"2,561"
President Donald J. Trump,realdonaldtrump,8,24M,"6,075"
Nia Ramadhani Bakrie,ramadhaniabakrie,844,24M,"2,446"
Ice Cube,icecube,90,27M,"3,022"
iansomerhalder,iansomerhalder,757,25M,"1,241"
One Direction,onedirection,60,24M,733
Ashley Benson,ashleybenson,"1,065",25M,"2,596"
Philippe Coutinho,phil.coutinho,"1,252",26M,723
King Bach,kingbach,995,25M,"5,134"
Logan Paul,loganpaul,784,26M,"1,116"
Divyanka Tripathi Dahiya,divyankatripathidahiya,178,25M,"3,050"
EXO_CY,real__pcy,6,24M,678
🌎 EarthPix 🌎,earthpix,41,24M,"9,261"
ГУСЕЙН ГАСАНОВ,gusein.gasanov,145,25M,393
One Direction,onedirection,60,24M,733
Angel Rai :),angelrai07,94,28M,"1,888"
Sandra Dewi,sandradewi88,568,24M,"6,565"
Luka Modric,lukamodric10,518,28M,679
박서준,bn_sj2013,64,24M,308
Victoria Justice,victoriajustice,338,24M,"2,836"
Úrsula Corberó ✨,ursulolita,798,23M,354
Claudia Leitte,claudialeitte,"2,985",25M,"5,709"
postmalone,postmalone,"1,130",24M,"1,093"
Ronaldo,ronaldo,"2,128",27M,"1,380"
Olga Buzova,buzova86,153,25M,10K
JD PANTOJA 🇲🇽,juandediospantoja,"3,201",24M,991
SEHUN,oohsehun,0,24M,833
Rakul Singh,rakulpreet,422,24M,"1,871"
QuavoHuncho,quavohuncho,606,24M,"4,392"
ozutochi,ozuna,45,23M,69
Najwa Shihab,najwashihab,844,23M,"4,416"
Burak Özçivit,burakozcivit,261,24M,445
alexandra daddario,alexandradaddario,725,23M,"1,921"
LA ROSALÍA,rosalia.vt,"2,096",24M,994
Kajal A Kitchlu,kajalaggarwalofficial,608,25M,"2,005"
Gianluca Vacchi,gianlucavacchi,484,24M,"3,308"
Rafa Kalimann,rafakalimann,"3,415",23M,"1,628"
Samantha,samantharuthprabhuoffl,511,25M,"1,329"
Hoyeon,hoooooyeony,636,23M,"1,036"
James Charles,jamescharles,325,23M,"1,139"
Ángel Di María,angeldimariajm,406,24M,"1,269"
Meek Mill,meekmill,"4,742",24M,306
Fábio de Melo,pefabiodemelo,650,26M,"6,365"
Anne Hathaway,annehathaway,98,27M,716
Myriam Fares,myriamfares,1,24M,"3,590"
Alfinetadas Dos Famosos 📌,alfinetei,503,23M,"6,387"
shreyaghoshal,shreyaghoshal,652,27M,"2,020"
이종석,jongsuk0206,0,25M,454
KIARA,kiaraaliaadvani,554,27M,"1,442"
Salma Hayek Pinault,salmahayek,466,23M,"2,097"
PewDiePie,pewdiepie,79,23M,765
Arsenal,arsenal,205,25M,10K
BaekHyun.,baekhyunee_exo,51,22M,2
Wonderful Places,wonderful_places,39,23M,"7,883"
Sincero Oficial,sincerooficial,185,23M,10K
Irish Bella,_irishbella_,328,23M,"1,123"
Fernanda Souza,fernandasouzaoficial,"1,943",22M,"6,150"
Greeicy,greeicy,"1,675",22M,"4,638"
Bruno Gagliasso,brunogagliasso,"4,486",22M,"6,183"
Ananya 💛💫,ananyapanday,"1,541",25M,"1,060"
권지용(權志龍),xxxibgdrgn,2,22M,"2,699"
Jason Derulo,jasonderulo,13,25M,698
Jessica Mila Agnesia,jscmila,"1,881",23M,"1,976"
Netflix Brasil,netflixbrasil,566,35M,"4,502"
JADE 🌪,jadepicon,781,23M,"2,753"
Jake Paul,jakepaul,237,23M,"1,241"
Felicya Angelista,felicyangelista_,642,23M,"3,214"
